d_type,MAE,RMSE,mean_abs_error,mean_rel_error,mean_pi_width,mean_pi_error,pi_coverage
d+_max,4.743754474324859,5.843562783874624,4.743754474324859,55.420625025698826,10.480728330632157,1.9752661561831977,0.5714285714285714
d-_max,2.2223407830696744,3.170450132889818,2.2223407830696744,3944.8141425792373,9.917119314196103,1.1085430999971078,0.8571428571428571
