d_type,MAE,RMSE,mean_abs_error,mean_rel_error,mean_pi_width,mean_pi_error,pi_coverage,mean_r_squared,mean_aic
sim-min_exp-min-d+,7.382726582658904,10.109854359412248,7.382726582658904,1.039042285721312,169.47306578493126,0.0,1.0,0.993022221979455,28.669661025486505
sim-min_exp-min-d-,10.098803159568376,13.48560613811767,10.098803159568376,19865.920111518062,160.60286587927735,2.575154692890719,0.7142857142857143,0.6434554921599543,13.424319106168493
sim-max_exp-min-d+,2.5627974064335866,3.4275194602114074,2.5627974064335866,365.2479711476566,41.64182370362785,0.5549433828026343,0.8571428571428571,0.8685944642721728,1.6100548586391887
sim-max_exp-min-d-,6.009205575386348,6.524809140126552,6.009205575386348,0.6152356625427247,176.74930835291389,0.0882530080674085,0.8571428571428571,0.9840140414681562,24.901959092487846
sim-min_exp-max-d+,3.556315042001779,4.297008081127364,3.556315042001779,1.7726877220872088,92.01661201785399,0.0,1.0,0.9983185945788796,20.594496906486615
sim-min_exp-max-d-,2.3274591124142714,3.1080202850810963,2.3274591124142714,1.0,37.01781865402567,0.5924029207599363,0.7142857142857143,0.6201478386662935,-inf
sim-max_exp-max-d+,5.312046049111913,7.088329981040707,5.312046049111913,35.327257984097294,82.67571966622725,0.7372880528710523,0.8571428571428571,0.8808739886838629,16.0717165608222
sim-max_exp-max-d-,5.7112409890316576,6.172673057534281,5.7112409890316576,1.4650778177580832,176.7254335850022,0.0,1.0,0.981483637782174,25.226644514959997
