d_type,MAE,RMSE,mean_abs_error,mean_rel_error,mean_pi_width,mean_pi_error,pi_coverage
sim-min_exp-min-d+,22.266153193622454,27.09104693797193,22.266153193622454,2.8810383612052726,41.09495001016118,9.544064487429802,0.5714285714285714
sim-min_exp-min-d-,2.217683150587483,3.1685214364092755,2.217683150587483,3945.236004224204,9.916975730122855,1.1085430962359393,0.8571428571428571
sim-max_exp-min-d+,1.9152408022843732,2.2632110838879145,1.9152408022843732,160.253243500268,4.6468679735387175,0.6395071130472828,0.7142857142857143
sim-max_exp-min-d-,11.04304946100969,12.696454123356107,11.04304946100969,1.4788235820819866,40.46483892294007,0.667201356666303,0.8571428571428571
sim-min_exp-max-d+,23.199752656595308,26.96838774628357,23.199752656595308,7.03492546198102,48.99030050835732,7.335702234112792,0.5714285714285714
sim-min_exp-max-d-,0.5110995160193657,0.7302354500129069,0.5110995160193657,1.0,2.292225828554431,0.2526511531175763,0.8571428571428571
sim-max_exp-max-d+,4.660089827371675,5.706119940761383,4.660089827371675,55.10720946457187,10.483927357630744,1.8750963996451275,0.7142857142857143
sim-max_exp-max-d-,10.17302089158835,11.771785117738759,10.17302089158835,3.929058084554462,36.88487573854549,0.8979304576645839,0.8571428571428571
