excluded_tc,measured,predicted,error,abs_error,rel_error,lower_95,upper_95,pi_width,within_pi,pi_error,r_squared,aic
TC2,0.0009413310363124,30.043455111688615,30.042513780652303,30.042513780652303,31914.92962809534,10.277735900387178,49.80917432299005,39.531438422602875,False,10.276794569350866,0.9981553332582618,1.9995420626795752
TC3,0.0,-15.11500899487012,-15.11500899487012,15.11500899487012,,-53.44175175325957,23.21173376351933,76.6534855167789,True,0.0,0.973577378741958,17.970782232315603
TC5,0.0015510011619135,4.007021191064144,4.005470189902231,4.005470189902231,2582.5062471008114,-134.51035364912212,142.52439603125043,277.03474968037256,True,0.0,0.3922140063155938,36.78487566470003
TC6,9.533452395765956e-05,4.286835527917228,4.28674019339327,4.28674019339327,44965.24465048064,-156.4418791030231,165.01555015885754,321.45742926188063,True,0.0,0.3811782845677174,36.89239193501973
TC8,0.0,3.6406988651343557,3.6406988651343557,3.6406988651343557,,-99.6553625972984,106.93676032756711,206.59212292486552,True,0.0,0.42535618497045724,36.447961558202664
TC9,0.0,5.84036796826235,5.84036796826235,5.84036796826235,,-95.62351586207834,107.30425179860305,202.92776766068138,True,0.0,0.5505359360707712,34.973794601498035
TC10,7.761439970564537,0.0006178458005371836,-7.760822124764,7.760822124764,0.9999203954674802,-0.01091599807929787,0.012151689680372238,0.023067687759670108,False,7.749288280884165,0.7831713211949203,-71.0991143112362
