Data Point Number,Timestamp,DIC Pulse Signal,TC1,TC3,TC4,TC6,TC7,TC9,TC10,Coil Twist About Z-Axis,Sample Twist About Y-Axis,"Coil Offset, x","Coil Offset, y","Coil Offset, z"
570,281.901089,1.287171215,233.96693308859167,126.4249250258996,165.40993635717348,193.39425479611523,236.44840495104984,172.56034953970047,21.036618338506866,3.760517585554287,-0.7216562412772269,0.9833349001771792,0.0936902062916607,-0.8554694442567854
571,282.50202,1.297435136,234.85344430284312,130.29067842034297,162.20128074399574,194.64669236809922,235.3851889885531,173.99085948218436,21.925135724879503,3.767599675337168,-0.7209013750132901,0.9825020534225706,0.09204495946551483,-0.8557121655235607
572,283.10297,1.287750572,236.09405595122448,127.47837071138112,163.98346239600266,194.82561103054758,236.8027056500409,171.84521338111176,21.925135724879503,3.768183849260165,-0.7226391370563133,0.9807282941801088,0.091709250502638,-0.8541534035273646
573,283.604904,1.2902039,233.78958559281241,128.88397660405914,164.5183219941021,193.75210455946126,235.73965882946555,173.99085948218436,21.925135724879503,3.7566388702807934,-0.7152749790077653,0.9850276705583756,0.0941912839133332,-0.8565213226621662
574,284.205854,1.289302677,233.43488025933794,127.82966052002197,163.98346239600266,194.64669236809922,235.73965882946555,173.6332036500944,19.613600360696662,3.762585280188609,-0.7291790777691689,0.9756704249318107,0.09340985587530737,-0.8530505949016876
575,284.807428,1.288587422,235.73965882946555,128.70820519094707,162.9140326005687,193.21533845760428,236.09405595122448,173.27556635374657,20.681025063145114,3.767683748852652,-0.7242353596356557,0.9751415694872225,0.09122542840679015,-0.8546401573443525
576,285.408809,1.286527485,234.32156802577208,125.19669901468482,163.62694619665828,196.9722252554374,238.57350334730796,173.81204178418565,21.214386610373694,3.758342328232697,-0.741038258047511,0.9805687110142713,0.09499554692158885,-0.849237680929436
577,286.009959,1.295067639,235.03069616932194,129.05974095239876,166.3017813183734,190.35214554810204,237.68825731538035,173.81204178418565,22.45791938250822,3.7697832581625534,-0.7201787064815385,0.9748377534474582,0.09133769393479763,-0.8559445348781969
578,286.611575,1.288980812,234.32156802577208,128.70820519094707,165.58827219628802,193.57319352773015,239.63537675423342,175.42168231471345,18.723342387401427,3.7618970158772544,-0.7258227977766755,0.9744176470443824,0.09366974776436643,-0.8541297404900057
579,287.115416,1.279267639,232.725329770312,128.35673953694766,167.19382389627606,192.49957305176932,237.15695787254938,172.73915885035896,20.858847692318786,3.7568269021843435,-0.7009861168852026,0.9839858096468879,0.09414760142012035,-0.8621161496202117
580,287.714862,1.292034954,233.96693308859167,125.898428917075,162.37944087151325,193.9310378612771,235.91685100710123,172.20277110729043,21.925135724879503,3.765637144121374,-0.7118543540107518,0.9857346062273287,0.09190087461589291,-0.8586212476161661
581,288.315581,1.292800278,233.96693308859167,129.41134668046686,162.55763620566137,191.78379562069273,235.5624298908048,174.70624958674676,19.43559095912673,3.76452241432932,-0.701122727897839,0.9799719290126045,0.09295983800568375,-0.8620722181888114
582,288.917169,1.289717526,232.725329770312,128.35673953694766,163.80521185982857,196.79337285941833,236.09405595122448,177.03164321802558,22.102766380191735,3.7633795586355285,-0.7270704958689396,0.9826206187299116,0.09302533592495177,-0.8537285652962527
583,289.517672,1.289395661,234.49888020852805,127.12715145268763,162.73581686046873,196.0778762063915,235.91685100710123,173.45439515144943,21.036618338506866,3.7599033224135514,-0.7100342007312967,0.9831827055940039,0.09383290740759387,-0.85920653918516
584,290.119474,1.297013135,233.43488025933794,126.4249250258996,163.80521185982857,194.10994334194677,236.09405595122448,176.13717832464488,22.45791938250822,3.765580867928554,-0.7091407778499175,0.9802281434190592,0.09131394815050053,-0.8594938320589751
585,290.721277,1.286498875,231.66065763013623,127.47837071138112,160.59818850751628,193.75210455946126,236.8027056500409,176.13717832464488,21.56981621341774,3.764009227446639,-0.7036073881580032,0.9770885121497681,0.09297905687652142,-0.8612732061917621
586,291.322011,1.286777824,233.61225117134168,127.82966052002197,160.77625321361757,193.21533845760428,235.73965882946555,173.99085948218436,19.257580243117992,3.7673673455985686,-0.7166720256299967,0.9747559726662578,0.09249893183900015,-0.8570720993195291
587,291.922936,1.289080948,233.96693308859167,130.29067842034297,163.44871531301985,194.82561103054758,237.51116144617777,174.34855831104377,20.147445222816838,3.763655960360489,-0.7145175196530159,0.9882932691365074,0.09306112471643013,-0.8577648868935901
588,292.523891,1.294495434,232.54792557284367,129.23554736926528,165.0532674788083,190.8890152849953,239.1044834101075,173.81204178418565,19.257580243117992,3.7643594888366905,-0.7214336234429114,0.9845594725689573,0.09279768734914873,-0.8555410251452553
589,293.02603,1.289038033,231.8381192470199,128.00534412486977,164.5183219941021,194.64669236809922,237.15695787254938,175.7794226808985,20.147445222816838,3.7671830753678486,-0.722735076948717,0.9817916943846603,0.09244173955635682,-0.8551225550715582
590,293.627405,1.288530201,232.90274720683257,128.88397660405914,166.4801623112561,193.9310378612771,237.86531620177436,173.27556635374657,20.858847692318786,3.7595481394908106,-0.7146675390067575,0.9871696674290193,0.0940154209824291,-0.856716647454915
591,294.229001,1.289138168,230.950647790742,129.41134668046686,164.34001752501365,194.64669236809922,237.68825731538035,175.24280552687912,22.280344408576905,3.76541033710018,-0.7252376837094899,0.9788730982045308,0.0925535642131925,-0.8543178745595945
592,294.829933,1.293114991,232.19303297646266,130.29067842034297,167.01540794263587,193.9310378612771,236.97982544959413,174.169706681155,22.280344408576905,3.758979220176905,-0.7171693342791673,0.9818827535097405,0.09384758839793417,-0.8559121895490716
