,TC1,TC2,TC4,TC5,TC7,TC8
mean,233.9102903973286,173.44516666666667,163.73389854488425,163.689,236.39677944319794,161.78533333333334
std,1.2593942418265416,0.1572269402311933,1.4660064964018789,0.20225592111757545,1.238011877675389,0.15802238273842026
ci95_low,233.67165993326572,173.40538276168874,163.4561191181273,163.63782219080818,236.16220051701788,161.74534815363066
ci95_up,234.14892086139147,173.4849505716446,164.0116779716412,163.7401778091918,236.631358369378,161.82531851303602
