TC,d+,d-
1.000000000000000000e+00,9.807748038963925996e-02,4.802927802970161864e+00
2.000000000000000000e+00,1.592964928707490069e+00,9.130452615098587632e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.399343128372015244e+00
5.000000000000000000e+00,3.846311971507703209e+00,7.275036684272374876e-02
7.000000000000000000e+00,2.020987772754303524e-01,3.888266223970217261e+00
8.000000000000000000e+00,3.558711724635437168e-01,2.567294426394771900e+00
