,TC3,TC5,TC6,TC8,TC9,TC10,TC2,CV
sim-min_exp-min-d+,52.115605950654185,2.804732070643733,25.105376588364496,9.946578708293087,20.332273172155343,0.0,6.248115412269401,7.547183690317034
sim-min_exp-min-d-,0.0,0.0015510011619135522,9.533452395765957e-05,0.0,0.0,7.761439970564537,0.0009413310363124551,0.0
sim-max_exp-min-d+,3.918592889530043,0.0,0.0,0.0017963093619413355,0.0,0.0,0.0,0.0
sim-max_exp-min-d-,2.9074304867123204,8.383179599514962,33.798580272261816,4.934062925912512,19.75147925580315,24.982068788314546,16.81963316365315,2.9333289267118006
sim-min_exp-max-d+,58.605605950654166,7.203442922021158,29.95139640079073,14.346578708293046,25.17557850618335,0.22056062455821523,10.771101880488374,11.036123854661232
sim-min_exp-max-d-,0.0,0.0,0.0,0.0,0.0,1.7886465656470394,0.0,0.0
sim-max_exp-max-d+,8.612552159833175,0.0,0.0,0.554172884717874,0.025849199824452655,0.0,0.0,0.5605909644362221
sim-max_exp-max-d-,1.028400362899461,3.9831795995149797,28.952518460428813,1.0580923315912896,14.93290198144914,18.80092771586555,12.296646695434177,0.0
