,Coil RMS Current,Coil Frequency,alpha_tb,beta_tb,gamma_tb,dx,dy,dz,Sample Inlet Temperature,Sample Outlet Temperature,Coil Inlet Temperature,Coil Outlet Temperature,Sample Inlet Pressure,Sample Outlet Pressure,Sample Flowrate,Coil RMS Voltage,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
mean,1549.9068703782407,123.47548679681275,0.6810207223586975,-0.33033905240279426,-3.870553245685151,-1.4166395259257518,0.4941647315044654,-0.23979062061424694,147.829294268556,149.56492200140354,27.415784860557768,63.22957768924302,6.63731819442231,5.773940544223108,47.27437609561753,85.00041463663409,,214.95147808764938,345.9276810948625,,175.20691537404358,336.5131937778099,,193.94459533889517,275.9591316739601,185.0292752407049
std,0.472699699307149,0.0368401416590039,0.47999350009076697,0.3498146054509911,0.258871992887148,0.26114526676306604,0.29061250892418433,0.25749402576251307,0.5096557975739755,0.5405412871061973,0.4487403972328907,0.37120227548655277,0.0478952270141534,0.04200001049568199,0.16049466405407303,0.04326151204145817,,2.119445556795364,4.297315222128512,,0.454547197730731,1.4207835703470881,,0.4729090692654469,0.9376471883142097,0.5518845934100046
ci95_low,1549.8877705072512,123.47344855596951,0.65551941973226,-0.3489241543157715,-3.8843067090776255,-1.4305137647975852,0.4787249442246325,-0.25347087477232993,147.8022170545379,149.53620388971666,27.390957567163575,63.20904031873008,6.634668312975053,5.771616825231982,47.265496466911834,84.99866661500425,,214.8342163100246,345.6993714699614,,175.18276599359334,336.43770977274056,,193.91947042097888,275.90931594791067,184.99995447692632
ci95_up,1549.9259702492302,123.47752503765598,0.7065220249851349,-0.311753950489817,-3.8567997822926765,-1.4027652870539185,0.5096045187842982,-0.22611036645616392,147.8563714825741,149.59364011309043,27.44061215395196,63.25011505975596,6.639968075869566,5.776264263214234,47.28325572432322,85.00216265826393,,215.06873986527415,346.1559907197636,,175.23106475449381,336.5886777828792,,193.96972025681146,276.0089474000095,185.05859600448346
epistemic lower,-94.2398595504098,-0.5,0.0,0.0,0.0,-0.025,-0.025,-0.025,-2.2,-2.2,-2.2,-2.2,0.0,0.0,0.0,-1.7444700821720929,-2.2,-3.245000000000002,-4.536037034623135,-2.2,-2.4230309059165025,-4.094140819610923,-2.2,-2.4216526670139986,-3.090570536224516,-2.2614932341094915
epistemic upper,94.2398595504098,0.5,0.0,0.0,0.0,0.025,0.025,0.025,2.2,2.2,2.2,2.2,0.0,0.0,0.0,1.7444700821720929,2.2,3.245000000000002,4.536037034623135,2.2,2.4230309059165025,4.094140819610923,2.2,2.4216526670139986,3.090570536224516,2.2614932341094915
