,TC1,TC3,TC4,TC5,TC8,TC9,TC2,CV
sim-min_exp-min-d+,51.352499154681155,66.33319609933065,2.985465419586302,0.9784688533387252,2.6409805017874954,14.703601084176384,14.514778908705395,6.607910608380158
sim-min_exp-min-d-,0.0,0.0,0.0235647127796885,0.01530601168505504,0.003746153754592172,0.0,0.0,0.0
sim-max_exp-min-d+,0.10470646074381985,15.652450029109131,0.0,0.0,0.0,0.0,0.0,0.0
sim-max_exp-min-d-,24.148325852270293,0.04640970542244473,20.537112532463077,11.977605464477852,14.302589186305815,28.220132407791755,10.529952727915822,3.302920117318423
sim-min_exp-max-d+,60.72520171468104,73.65319609933067,10.232515295880644,5.581921144815753,7.037541332366236,19.44852333017637,18.91477890870539,10.048854278380167
sim-min_exp-max-d-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sim-max_exp-max-d+,0.5641169243622699,22.92834344708066,0.0,0.0,0.0,0.0,0.004511429534133036,0.14312273888448546
sim-max_exp-max-d-,15.227595612762817,0.0,13.270305680463055,7.361571864477857,9.902589186305823,23.475210161791775,6.132868456131955,0.00016858771688349068
