excluded_tc,measured,predicted,error,abs_error,rel_error,lower_95,upper_95,pi_width,within_pi,pi_error
TC2,16.81963316365315,15.792738656578745,-1.026894507074406,1.026894507074406,0.061053323641653605,-6.763422526293523,38.348899279656365,45.11232180594989,True,0.0
TC3,2.9074304867123204,18.111479415068136,15.204048928355816,15.204048928355816,5.229376591406775,-1.3124260745673553,37.53538457276488,38.84781064733224,True,0.0
TC5,8.383179599514962,17.19957297449533,8.816393374980366,8.816393374980366,1.0516765471051663,-4.363611588356331,38.762757735346085,43.12636932370242,True,0.0
TC6,33.798580272261816,12.962952390778542,-20.835627881483276,20.835627881483276,0.616464588560925,-3.202265617828088,29.128170775597695,32.330436393425785,False,4.670409496664121
TC8,4.934062925912512,17.77445608149939,12.840393155586879,12.840393155586879,2.602397526823629,-2.6014888645285588,38.150402238023844,40.751891102552406,True,0.0
TC9,19.75147925580315,15.304143415004656,-4.447335840798495,4.447335840798495,0.22516469694247482,-7.013532634734998,37.6218191211248,44.6353517558598,True,0.0
TC10,24.982068788314542,10.851416249525943,-14.130652538788599,14.130652538788599,0.565631800093284,-8.373429466353018,30.076261965404907,38.44969143175793,True,0.0
