excluded_tc,measured,predicted,error,abs_error,rel_error,lower_95,upper_95,pi_width,within_pi,pi_error
TC2,0.0,0.29810731026399145,0.29810731026399145,0.29810731026399145,,-1.035071628791792,1.6312861971106134,2.6663578259024057,True,0.0
TC3,0.0,0.29810628011191037,0.29810628011191037,0.29810628011191037,,-1.0350709930827753,1.6312835748109187,2.666354567893694,True,0.0
TC5,0.0,0.2985152449113087,0.2985152449113087,0.2985152449113087,,-1.0346655696572595,1.6316960704992471,2.6663616401565067,True,0.0
TC6,0.0,0.2981069397877239,0.2981069397877239,0.2981069397877239,,-1.035071628791792,1.6312855614015964,2.6663571901933887,True,0.0
TC8,0.0,0.29810678194991774,0.29810678194991774,0.29810678194991774,,-1.0350703573737583,1.6312839721290544,2.6663543295028127,True,0.0
TC9,0.0,0.2981074894636683,0.2981074894636683,0.2981074894636683,,-1.0387016862054352,1.634916572378765,2.6736182585842005,True,0.0
TC10,1.7886465656470394,0.0,-1.7886465656470394,1.7886465656470394,1.0,-0.020088493824005127,0.020088493824005127,0.040176987648010254,False,1.7685580718230343
