,TC3,TC5,TC6,TC8,TC9,TC10,TC2,CV
sim-min_exp-min-d+,53.50037060563685,2.3327276752076482,25.180780770565985,9.803132153765263,20.78770795857944,0.0,6.950986595018698,7.426525703261827
sim-min_exp-min-d-,0.0,0.0016028926471759993,0.0,0.0,0.0,7.708904221742692,0.0,0.0
sim-max_exp-min-d+,3.5196378676781253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sim-max_exp-min-d-,3.322454325536476,8.718744689790514,35.128429435939985,5.693288881093422,20.965935274718483,25.885425609840453,17.964452166821978,3.089576356795918
sim-min_exp-max-d+,59.9903706056369,6.731505300871884,30.02684258239897,14.203132153765253,25.631013292607374,0.1662004329005159,11.47397306323766,10.91546586760603
sim-min_exp-max-d-,0.0,0.0,0.0,0.0,0.0,1.6823292493114532,0.0,0.0
sim-max_exp-max-d+,7.894023125685302,0.0,0.0,0.30885843238471683,0.009104664943551385,0.0,0.0,0.4043435343521077
sim-max_exp-max-d-,1.1181351313512737,4.318744689790526,30.282367624106993,1.5834772459647752,16.131254116998157,19.704284537391466,13.441465698603038,0.0
