"Temperature (degC), TC1","Temperature (degC), TC2","Temperature (degC), TC3","Temperature (degC), TC4","Temperature (degC), TC5","Temperature (degC), TC6","Temperature (degC), TC7","Temperature (degC), TC8","Temperature (degC), TC9","Temperature (degC), TC10",V_coil_rms (V)
403.7963405,216.2337047,309.1405652,204.6908352,173.9522172,324.8596843,373.3436477,186.9878181,267.5940916,194.924786,79.49345864
404.3455916,216.1698353,308.9346903,204.1617415,173.4710495,321.7487806,369.2735365,186.3760282,265.7057269,194.0658518,79.51275098
403.8376607,217.1180171,311.0204867,207.3838597,175.717275,337.0834489,387.1569,189.103292,274.1098463,198.0255036,79.41550008
411.9769795,220.0062525,316.3874537,211.3498068,176.9916502,347.2536334,394.1660505,190.464447,278.0398267,200.1603612,79.32937288
400.019939,216.1403122,307.7607611,207.4254856,175.0613586,334.694857,378.6687264,187.7459001,269.7568823,196.6939719,79.45020646
400.1158313,215.4650158,308.2676891,204.3260317,174.6190053,328.0998334,381.0787182,188.0375362,271.0069954,196.1951958,79.479183
386.1607281,212.8933961,299.9222346,207.1437148,175.3098711,337.9987038,378.1232176,187.3364542,268.3473852,196.9296259,79.48228943
437.37813,226.1649009,332.3672323,212.0667085,177.6250618,346.949771,406.4420822,192.9523459,286.0399817,201.7781495,79.23271464
370.8280357,207.3623935,289.1175584,199.1224615,172.1983207,314.0675176,358.1001315,183.8049926,257.8430624,191.5810009,79.67164779
394.3823231,215.4365208,305.2434785,209.6002712,176.1115633,343.8669222,383.7177572,188.4254307,271.6389163,198.348199,79.41833771
385.3381658,212.6890002,299.5106218,206.9616594,175.2836409,337.7384546,378.0271518,187.2971677,268.2374591,196.8777806,79.48528461
401.3753358,216.1419493,308.163874,206.3731604,174.6018654,330.7707451,376.2348841,187.3914385,268.7354188,195.950886,79.46873478
374.20655,208.4466301,290.211515,201.0713997,172.1433202,316.1130135,353.7039704,183.2855669,256.0173318,191.3360003,79.65938176
394.9015463,213.3675634,303.3941396,201.4895875,172.8063355,316.3414654,365.7736495,185.5665857,263.367433,192.9247014,79.57347414
429.2149432,224.6213334,328.6661827,212.9165753,178.5857381,353.9850917,413.2216194,193.7820935,288.5680225,203.3861993,79.21537077
384.2568536,210.9563113,297.6157556,201.2351815,173.1012275,319.0886944,366.9089608,185.4863446,263.0581306,193.330486,79.59259314
401.7612635,216.1941391,308.4829231,206.1848413,174.6280044,330.5529427,377.0462324,187.5197623,269.1534034,196.0271301,79.4673157
400.6695344,217.5997263,309.9229451,212.2531707,177.3976051,352.6425853,393.402628,190.0979332,276.7106334,200.6149144,79.34363735
393.9018683,214.7475113,303.7540139,207.7521887,174.9037833,335.4472764,374.4748644,186.9940345,267.2706641,196.2433286,79.47271189
389.0141949,212.8372818,300.1484428,204.668511,173.69831,326.051724,366.8012974,185.6634071,263.2982017,194.1784914,79.54279116
416.6804585,220.7732581,319.5177186,209.9097131,176.8865081,343.9062863,397.6964944,191.0655106,280.1617281,200.21519,79.32695337
407.8322074,217.663972,312.0749715,206.4703311,174.6767909,330.1839188,378.5299542,187.8914693,270.3456839,196.1993746,79.44741531
370.6969129,207.0049542,287.8160893,198.4236713,171.326766,308.904088,349.6269689,182.5467265,253.8689484,189.9797952,79.70972846
